FL_DATE,UNIQUE_CARRIER,AIRLINE_ID,CARRIER,FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,DISTANCE,DEP_AIRPORT_LAT,DEP_AIRPORT_LON,DEP_AIRPORT_TZOFFSET,ARR_AIRPORT_LAT,ARR_AIRPORT_LON,ARR_AIRPORT_TZOFFSET,EVENT,NOTIFY_TIME
2015-02-10,AS,19930,AS,41,10299,1029904,30299,ANC,10551,1055102,30113,BET,2015-02-10 15:10:00 UTC,2015-02-10 15:02:00 UTC,-8.0,,,,,2015-02-10 16:33:00 UTC,,,0.00,,,399.0,61.17416667,-149.99805556,-32400.0,60.77861111,-161.83722222,-32400.0,departed,2015-02-10 15:02:00 UTC
2015-02-10,AS,19930,AS,41,10299,1029904,30299,ANC,10551,1055102,30113,BET,2015-02-10 15:10:00 UTC,2015-02-10 15:02:00 UTC,-8.0,8.0,2015-02-10 15:10:00 UTC,,,2015-02-10 16:33:00 UTC,,,0.00,,,399.0,61.17416667,-149.99805556,-32400.0,60.77861111,-161.83722222,-32400.0,wheelsoff,2015-02-10 15:10:00 UTC
2015-02-10,AS,19930,AS,41,10299,1029904,30299,ANC,10551,1055102,30113,BET,2015-02-10 15:10:00 UTC,2015-02-10 15:02:00 UTC,-8.0,8.0,2015-02-10 15:10:00 UTC,2015-02-10 16:16:00 UTC,5.0,2015-02-10 16:33:00 UTC,2015-02-10 16:21:00 UTC,-12.0,0.00,,0.00,399.0,61.17416667,-149.99805556,-32400.0,60.77861111,-161.83722222,-32400.0,arrived,2015-02-10 16:21:00 UTC
2015-02-10,AS,19930,AS,43,10299,1029904,30299,ANC,10551,1055102,30113,BET,2015-02-10 20:10:00 UTC,2015-02-10 19:56:00 UTC,-14.0,,,,,2015-02-10 21:26:00 UTC,,,0.00,,,399.0,61.17416667,-149.99805556,-32400.0,60.77861111,-161.83722222,-32400.0,departed,2015-02-10 19:56:00 UTC
2015-02-10,AS,19930,AS,43,10299,1029904,30299,ANC,10551,1055102,30113,BET,2015-02-10 20:10:00 UTC,2015-02-10 19:56:00 UTC,-14.0,13.0,2015-02-10 20:09:00 UTC,,,2015-02-10 21:26:00 UTC,,,0.00,,,399.0,61.17416667,-149.99805556,-32400.0,60.77861111,-161.83722222,-32400.0,wheelsoff,2015-02-10 20:09:00 UTC
2015-02-10,AS,19930,AS,43,10299,1029904,30299,ANC,10551,1055102,30113,BET,2015-02-10 20:10:00 UTC,2015-02-10 19:56:00 UTC,-14.0,13.0,2015-02-10 20:09:00 UTC,2015-02-10 21:06:00 UTC,4.0,2015-02-10 21:26:00 UTC,2015-02-10 21:10:00 UTC,-16.0,0.00,,0.00,399.0,61.17416667,-149.99805556,-32400.0,60.77861111,-161.83722222,-32400.0,arrived,2015-02-10 21:10:00 UTC
2015-02-10,AS,19930,AS,45,10299,1029904,30299,ANC,10551,1055102,30113,BET,2015-02-11 04:05:00 UTC,2015-02-11 03:56:00 UTC,-9.0,,,,,2015-02-11 05:16:00 UTC,,,0.00,,,399.0,61.17416667,-149.99805556,-32400.0,60.77861111,-161.83722222,-32400.0,departed,2015-02-11 03:56:00 UTC
2015-02-10,AS,19930,AS,45,10299,1029904,30299,ANC,10551,1055102,30113,BET,2015-02-11 04:05:00 UTC,2015-02-11 03:56:00 UTC,-9.0,8.0,2015-02-11 04:04:00 UTC,,,2015-02-11 05:16:00 UTC,,,0.00,,,399.0,61.17416667,-149.99805556,-32400.0,60.77861111,-161.83722222,-32400.0,wheelsoff,2015-02-11 04:04:00 UTC
2015-02-10,AS,19930,AS,45,10299,1029904,30299,ANC,10551,1055102,30113,BET,2015-02-11 04:05:00 UTC,2015-02-11 03:56:00 UTC,-9.0,8.0,2015-02-11 04:04:00 UTC,2015-02-11 05:02:00 UTC,3.0,2015-02-11 05:16:00 UTC,2015-02-11 05:05:00 UTC,-11.0,0.00,,0.00,399.0,61.17416667,-149.99805556,-32400.0,60.77861111,-161.83722222,-32400.0,arrived,2015-02-11 05:05:00 UTC
2015-02-11,AS,19930,AS,41,10299,1029904,30299,ANC,10551,1055102,30113,BET,2015-02-11 15:10:00 UTC,2015-02-11 14:54:00 UTC,-16.0,,,,,2015-02-11 16:33:00 UTC,,,0.00,,,399.0,61.17416667,-149.99805556,-32400.0,60.77861111,-161.83722222,-32400.0,departed,2015-02-11 14:54:00 UTC
2015-02-11,AS,19930,AS,41,10299,1029904,30299,ANC,10551,1055102,30113,BET,2015-02-11 15:10:00 UTC,2015-02-11 14:54:00 UTC,-16.0,19.0,2015-02-11 15:13:00 UTC,,,2015-02-11 16:33:00 UTC,,,0.00,,,399.0,61.17416667,-149.99805556,-32400.0,60.77861111,-161.83722222,-32400.0,wheelsoff,2015-02-11 15:13:00 UTC
2015-02-11,AS,19930,AS,41,10299,1029904,30299,ANC,10551,1055102,30113,BET,2015-02-11 15:10:00 UTC,2015-02-11 14:54:00 UTC,-16.0,19.0,2015-02-11 15:13:00 UTC,2015-02-11 16:18:00 UTC,5.0,2015-02-11 16:33:00 UTC,2015-02-11 16:23:00 UTC,-10.0,0.00,,0.00,399.0,61.17416667,-149.99805556,-32400.0,60.77861111,-161.83722222,-32400.0,arrived,2015-02-11 16:23:00 UTC
2015-02-11,AS,19930,AS,43,10299,1029904,30299,ANC,10551,1055102,30113,BET,2015-02-11 20:10:00 UTC,2015-02-11 20:08:00 UTC,-2.0,,,,,2015-02-11 21:26:00 UTC,,,0.00,,,399.0,61.17416667,-149.99805556,-32400.0,60.77861111,-161.83722222,-32400.0,departed,2015-02-11 20:08:00 UTC
2015-02-11,AS,19930,AS,43,10299,1029904,30299,ANC,10551,1055102,30113,BET,2015-02-11 20:10:00 UTC,2015-02-11 20:08:00 UTC,-2.0,10.0,2015-02-11 20:18:00 UTC,,,2015-02-11 21:26:00 UTC,,,0.00,,,399.0,61.17416667,-149.99805556,-32400.0,60.77861111,-161.83722222,-32400.0,wheelsoff,2015-02-11 20:18:00 UTC
2015-02-11,AS,19930,AS,43,10299,1029904,30299,ANC,10551,1055102,30113,BET,2015-02-11 20:10:00 UTC,2015-02-11 20:08:00 UTC,-2.0,10.0,2015-02-11 20:18:00 UTC,2015-02-11 21:18:00 UTC,4.0,2015-02-11 21:26:00 UTC,2015-02-11 21:22:00 UTC,-4.0,0.00,,0.00,399.0,61.17416667,-149.99805556,-32400.0,60.77861111,-161.83722222,-32400.0,arrived,2015-02-11 21:22:00 UTC
2015-02-11,AS,19930,AS,45,10299,1029904,30299,ANC,10551,1055102,30113,BET,2015-02-12 04:05:00 UTC,2015-02-12 04:12:00 UTC,7.0,,,,,2015-02-12 05:16:00 UTC,,,0.00,,,399.0,61.17416667,-149.99805556,-32400.0,60.77861111,-161.83722222,-32400.0,departed,2015-02-12 04:12:00 UTC
2015-02-11,AS,19930,AS,45,10299,1029904,30299,ANC,10551,1055102,30113,BET,2015-02-12 04:05:00 UTC,2015-02-12 04:12:00 UTC,7.0,11.0,2015-02-12 04:23:00 UTC,,,2015-02-12 05:16:00 UTC,,,0.00,,,399.0,61.17416667,-149.99805556,-32400.0,60.77861111,-161.83722222,-32400.0,wheelsoff,2015-02-12 04:23:00 UTC
2015-02-11,AS,19930,AS,45,10299,1029904,30299,ANC,10551,1055102,30113,BET,2015-02-12 04:05:00 UTC,2015-02-12 04:12:00 UTC,7.0,11.0,2015-02-12 04:23:00 UTC,2015-02-12 05:24:00 UTC,4.0,2015-02-12 05:16:00 UTC,2015-02-12 05:28:00 UTC,12.0,0.00,,0.00,399.0,61.17416667,-149.99805556,-32400.0,60.77861111,-161.83722222,-32400.0,arrived,2015-02-12 05:28:00 UTC
2015-02-12,AS,19930,AS,41,10299,1029904,30299,ANC,10551,1055102,30113,BET,2015-02-12 15:10:00 UTC,2015-02-12 15:01:00 UTC,-9.0,,,,,2015-02-12 16:33:00 UTC,,,0.00,,,399.0,61.17416667,-149.99805556,-32400.0,60.77861111,-161.83722222,-32400.0,departed,2015-02-12 15:01:00 UTC
2015-02-12,AS,19930,AS,41,10299,1029904,30299,ANC,10551,1055102,30113,BET,2015-02-12 15:10:00 UTC,2015-02-12 15:01:00 UTC,-9.0,17.0,2015-02-12 15:18:00 UTC,,,2015-02-12 16:33:00 UTC,,,0.00,,,399.0,61.17416667,-149.99805556,-32400.0,60.77861111,-161.83722222,-32400.0,wheelsoff,2015-02-12 15:18:00 UTC
2015-02-12,AS,19930,AS,41,10299,1029904,30299,ANC,10551,1055102,30113,BET,2015-02-12 15:10:00 UTC,2015-02-12 15:01:00 UTC,-9.0,17.0,2015-02-12 15:18:00 UTC,2015-02-12 16:19:00 UTC,2.0,2015-02-12 16:33:00 UTC,2015-02-12 16:21:00 UTC,-12.0,0.00,,0.00,399.0,61.17416667,-149.99805556,-32400.0,60.77861111,-161.83722222,-32400.0,arrived,2015-02-12 16:21:00 UTC
